step,equity
0,1.0
1,1.0
2,1.0
3,1.0
4,1.0
5,1.0
6,1.0
7,0.9725169070372982
8,0.9725169070372982
9,0.9725169070372982
10,0.9725169070372982
11,0.9680975851374866
12,0.9976896558327178
13,0.9976896558327178
14,0.975471385029251
15,0.9350035997391668
16,0.8553007883295008
17,0.8335688904331944
18,0.8584555412824306
19,0.8584555412824306
20,0.8584555412824306
21,0.8584555412824306
22,0.8584555412824306
23,0.8584555412824306
24,0.8584555412824306
25,0.8584555412824306
26,0.8584555412824306
27,0.8584555412824306
28,0.8584555412824306
29,0.8584555412824306
30,0.8584555412824306
31,0.8584555412824306
32,0.8436883474547581
33,0.8516879110162592
34,0.8516879110162592
35,0.7966933410137456
36,0.7965333186052296
37,0.7719178951214766
38,0.7884400826562179
39,0.7884400826562179
40,0.7987794604627334
41,0.7987794604627334
42,0.8219008660480327
43,0.8219008660480327
44,0.7913590004225234
45,0.791706409919674
46,0.791706409919674
47,0.791706409919674
48,0.791706409919674
49,0.791706409919674
50,0.791706409919674
51,0.791706409919674
52,0.791706409919674
53,0.791706409919674
54,0.791706409919674
55,0.791706409919674
56,0.791706409919674
57,0.791706409919674
58,0.791706409919674
59,0.791706409919674
60,0.791706409919674
61,0.7667540878690422
62,0.7777016351289933
63,0.7777016351289933
64,0.7625057570706096
65,0.7670089264695988
66,0.7670089264695988
67,0.7670089264695988
68,0.7670089264695988
69,0.752749662794417
70,0.752749662794417
71,0.752749662794417
72,0.752749662794417
73,0.752749662794417
74,0.752749662794417
75,0.752749662794417
76,0.752749662794417
77,0.752749662794417
78,0.752749662794417
79,0.752749662794417
80,0.7533722867914467
81,0.7533722867914467
82,0.7332009736170302
83,0.7210149146438505
84,0.7296351237009734
85,0.7296351237009734
86,0.7296351237009734
87,0.7385744686484185
88,0.7385744686484185
89,0.6994734281038069
90,0.6838911504182772
91,0.6659691949180554
92,0.6797570966928551
93,0.6797570966928551
94,0.6797570966928551
95,0.7031534533008371
96,0.7031534533008371
97,0.7031534533008371
98,0.7031534533008371
99,0.7031534533008371
100,0.7031534533008371
101,0.7062166295904752
102,0.7062166295904752
103,0.7018506019285434
104,0.723208516753241
105,0.723208516753241
106,0.7250105487259836
107,0.7250105487259836
108,0.7250105487259836
109,0.753218415766673
110,0.753218415766673
111,0.753218415766673
112,0.753218415766673
113,0.7719831265533563
114,0.7719831265533563
115,0.7719831265533563
116,0.7719831265533563
117,0.7719831265533563
118,0.6087483600204103
119,0.7172377183952319
